name,mrp,our_price,category,subcategory,unit,discount,quantity,unit_price,product_url,sub-category,image,status,stock_count,is_dmart_exclusive,productid,brand,imageurl,isavailable,createdat,updatedat,details,processed_name,predicted_category,predicted_subcategory
Chappi Adult Chicken And Rice Dog Food,760.0,,Grocery & Food,Canned Vegetables,,,3 kg + 1.2 kg,,,,,,,,P0976,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.330877Z,2025-01-11T10:51:48.330877Z,,chappi adult chicken and rice dog food,Grocery & Food,Canned Vegetables
IAMS Proactive Health German Shephard Dog Food,50.0,,Grocery & Food,Canned Vegetables,,,1 unit,,,,,,,,P6933,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.331877Z,2025-01-11T10:51:48.331877Z,,iams proactive health german shephard dog food,Grocery & Food,Canned Vegetables
IAMS Proactive Health Pug Dog Food,762.0,,Grocery & Food,Canned Vegetables,,,1 unit,,,,,,,,P6823,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.331877Z,2025-01-11T10:51:48.331877Z,,iams proactive health pug dog food,Grocery & Food,Canned Vegetables
Pedigree Pro Expert Nutrition Dog Food (Mother & Pup Starter),285.0,,Grocery & Food,Fresh Fruits,,,1.2 kg,,,,,,,,P3430,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.331877Z,2025-01-11T10:51:48.331877Z,,pedigree pro expert nutrition dog food (mother & pup starter),Grocery & Food,Fresh Fruits
Cetaphil Moisturizing Lotion (100 ml),623.0,,Grocery & Food,Fresh Vegetables,,,1.2 kg,,,,,,,,P7749,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.332877Z,2025-01-11T10:51:48.332877Z,,cetaphil moisturizing lotion (100 ml),Grocery & Food,Fresh Vegetables
Vaseline Petroleum Jelly 42 g,235.0,,Pet Supplies,Dry Food,,,1 unit,,,,,,,,P1261,Pedigree,/api/placeholder/200/200,True,2025-01-11T10:51:48.332877Z,2025-01-11T10:51:48.332877Z,,vaseline petroleum jelly 42 g,Pet Supplies,Dry Food
Boroplus Doodh Kesar Body Lotion (400 ml),49.0,,Grocery & Food,Fresh Vegetables,,,1 unit,,,,,,,,P8913,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.332877Z,2025-01-11T10:51:48.332877Z,,boroplus doodh kesar body lotion (400 ml),Grocery & Food,Fresh Vegetables
Nivea Body Milk Nourishing Lotion,376.0,,Grocery & Food,Fresh Vegetables,,,1 unit,,,,,,,,P1254,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.332877Z,2025-01-11T10:51:48.332877Z,,nivea body milk nourishing lotion,Grocery & Food,Fresh Vegetables
Cetaphil DAM - Daily Advance Ultra Hydrating Moisturizing Lotion,180.0,,Grocery & Food,Fresh Vegetables,,,70 g,,,,,,,,P8432,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.333877Z,2025-01-11T10:51:48.333877Z,,cetaphil dam - daily advance ultra hydrating moisturizing lotion,Grocery & Food,Fresh Vegetables
Patanjali Coconut Multipurpose Oil,235.0,,Grocery & Food,Fresh Vegetables,,,5 x 70 g,,,,,,,,P8978,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.333877Z,2025-01-11T10:51:48.333877Z,,patanjali coconut multipurpose oil,Grocery & Food,Fresh Vegetables
"Vaseline Intensive Care Deep Moisture Body Lotion (Long Lasting Moisturization For Healthy, Glowing Skin)",198.0,,Health & Beauty,Bath & Body,,,200 g,,,,,,,,P6686,Himalaya,/api/placeholder/200/200,True,2025-01-11T10:51:48.333877Z,2025-01-11T10:51:48.333877Z,,"vaseline intensive care deep moisture body lotion (long lasting moisturization for healthy, glowing skin)",Health & Beauty,Bath & Body
Nivea Nourishing Body Lotion,470.0,,Grocery & Food,Fresh Vegetables,,,2.8 kg,,,,,,,,P0490,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.333877Z,2025-01-11T10:51:48.333877Z,,nivea nourishing body lotion,Grocery & Food,Fresh Vegetables
"Vaseline Intensive Care Deep Moisture Body Lotion (Long Lasting Moisturization For Healthy, Glowing Skin - 600 ml)",760.0,,Health & Beauty,Bath & Body,,,3 kg + 1.2 kg,,,,,,,,P3259,Himalaya,/api/placeholder/200/200,True,2025-01-11T10:51:48.335880Z,2025-01-11T10:51:48.335880Z,,"vaseline intensive care deep moisture body lotion (long lasting moisturization for healthy, glowing skin - 600 ml)",Health & Beauty,Bath & Body
Nivea Cocoa Nourish Body Lotion,353.0,,Grocery & Food,Fresh Vegetables,,,1 unit,,,,,,,,P3354,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.335880Z,2025-01-11T10:51:48.335880Z,,nivea cocoa nourish body lotion,Grocery & Food,Fresh Vegetables
Nivea Nourishing with Almond Oil Moisturizing Lotion (Very Dry Skin),63.0,,Grocery & Food,Fresh Vegetables,,,1 unit,,,,,,,,P2475,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.336877Z,2025-01-11T10:51:48.336877Z,,nivea nourishing with almond oil moisturizing lotion (very dry skin),Grocery & Food,Fresh Vegetables
"Vaseline Intensive Care Deep Moisturizing Lotion (Long Lasting Moisturization For Healthy, Glowing Skin)",49.0,,Health & Beauty,Bath & Body,,,1 unit,,,,,,,,P5131,Himalaya,/api/placeholder/200/200,True,2025-01-11T10:51:48.336877Z,2025-01-11T10:51:48.336877Z,,"vaseline intensive care deep moisturizing lotion (long lasting moisturization for healthy, glowing skin)",Health & Beauty,Bath & Body
Vaseline Intensive Care Cocoa Glow Body Lotion,672.0,,Health & Beauty,Bath & Body,,,1 unit,,,,,,,,P7622,Himalaya,/api/placeholder/200/200,True,2025-01-11T10:51:48.336877Z,2025-01-11T10:51:48.336877Z,,vaseline intensive care cocoa glow body lotion,Health & Beauty,Bath & Body
Himalaya Cocoa Butter Intensive Body Lotion,190.0,,Grocery & Food,Fresh Vegetables,,,1 unit,,,,,,,,P8619,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.336877Z,2025-01-11T10:51:48.336877Z,,himalaya cocoa butter intensive body lotion,Grocery & Food,Fresh Vegetables
Keo Karpin Ayurvedic Massage Herbal Body Oil 300 ml,672.0,,Grocery & Food,Fresh Vegetables,,,1 unit,,,,,,,,P4756,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.337878Z,2025-01-11T10:51:48.337878Z,,keo karpin ayurvedic massage herbal body oil 300 ml,Grocery & Food,Fresh Vegetables
Dabur 100% Natural Cold Pressed Castor Oil,1135.0,,Grocery & Food,Fresh Vegetables,,,3 kg,,,,,,,,P6015,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.337878Z,2025-01-11T10:51:48.337878Z,,dabur 100% natural cold pressed castor oil,Grocery & Food,Fresh Vegetables
Keo Karpin Ayurvedic Massage Herbal Body Oil,99.0,,Grocery & Food,Fresh Vegetables,,,100 ml,,,,,,,,P7485,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.337878Z,2025-01-11T10:51:48.337878Z,,keo karpin ayurvedic massage herbal body oil,Grocery & Food,Fresh Vegetables
Lakme Peach Milk Moisturizing Lotion,1116.0,,Grocery & Food,Fresh Vegetables,,,3 kg,,,,,,,,P8416,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.338878Z,2025-01-11T10:51:48.338878Z,,lakme peach milk moisturizing lotion,Grocery & Food,Fresh Vegetables
Joy Honey & Almonds Advanced Nourishing Body Lotion,725.0,,Grocery & Food,Fresh Fruits,,,2 x 3 kg,,,,,,,,P8321,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.338878Z,2025-01-11T10:51:48.338878Z,,joy honey & almonds advanced nourishing body lotion,Grocery & Food,Fresh Fruits
Biotique Morning Nectar Nourish & Hydrate Moisturizing Lotion,725.0,,Grocery & Food,Fresh Fruits,,,2 x 3 kg,,,,,,,,P0586,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.339879Z,2025-01-11T10:51:48.339879Z,,biotique morning nectar nourish & hydrate moisturizing lotion,Grocery & Food,Fresh Fruits
Pond's Triple Vitamin Moisturising Body Lotion,190.0,,Grocery & Food,Fresh Vegetables,,,1 kg,,,,,,,,P7810,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.339879Z,2025-01-11T10:51:48.339879Z,,pond's triple vitamin moisturising body lotion,Grocery & Food,Fresh Vegetables
Nivea Smooth Milk Shea Butter Body Lotion,498.0,,Grocery & Food,Fresh Vegetables,,,2.8 kg,,,,,,,,P9834,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.339879Z,2025-01-11T10:51:48.339879Z,,nivea smooth milk shea butter body lotion,Grocery & Food,Fresh Vegetables
Boroplus Vasocare Herbal Petroleum Jelly,1182.0,,Health & Beauty,Bath & Body,,,3 kg,,,,,,,,P7542,Himalaya,/api/placeholder/200/200,True,2025-01-11T10:51:48.339879Z,2025-01-11T10:51:48.339879Z,,boroplus vasocare herbal petroleum jelly,Health & Beauty,Bath & Body
Vaseline Skin Protecting Petroleum Jelly,672.0,,Pet Supplies,Dry Food,,,1 pack (12 x 100 g),,,,,,,,P8487,Pedigree,/api/placeholder/200/200,True,2025-01-11T10:51:48.340877Z,2025-01-11T10:51:48.340877Z,,vaseline skin protecting petroleum jelly,Pet Supplies,Dry Food
Parachute Advansed Deep Nourish Body Lotion,3400.0,,Grocery & Food,Fresh Vegetables,,,4 kg,,,,,,,,P4989,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.340877Z,2025-01-11T10:51:48.340877Z,,parachute advansed deep nourish body lotion,Grocery & Food,Fresh Vegetables
Lakme Peach Milk SPF 24 PA++ Moisturizing Lotion,2950.0,,Grocery & Food,Fresh Vegetables,,,3 kg,,,,,,,,P3367,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.340877Z,2025-01-11T10:51:48.340877Z,,lakme peach milk spf 24 pa++ moisturizing lotion,Grocery & Food,Fresh Vegetables
Biotique Winter Cherry Rejuvenating Body Lotion,1154.0,,Grocery & Food,Fresh Vegetables,,,3 kg,,,,,,,,P3107,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.341877Z,2025-01-11T10:51:48.341877Z,,biotique winter cherry rejuvenating body lotion,Grocery & Food,Fresh Vegetables
Nivea Cocoa Nourish Moisturizing Lotion,4100.0,,Grocery & Food,Fresh Vegetables,,,4 kg,,,,,,,,P2454,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.341877Z,2025-01-11T10:51:48.341877Z,,nivea cocoa nourish moisturizing lotion,Grocery & Food,Fresh Vegetables
Yardley London English Lavender Moisturizing Body Lotion (For Women),304.0,,Grocery & Food,Fresh Vegetables,,,900 g,,,,,,,,P9046,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.341877Z,2025-01-11T10:51:48.341877Z,,yardley london english lavender moisturizing body lotion (for women),Grocery & Food,Fresh Vegetables
VLCC Almond Honey Body Lotion - Buy 1 Get 1 Free,260.0,,Grocery & Food,Fruit Jams,,,200 g,,,,,,,,P3994,Kissan,/api/placeholder/200/200,True,2025-01-11T10:51:48.342877Z,2025-01-11T10:51:48.342877Z,,vlcc almond honey body lotion - buy 1 get 1 free,Grocery & Food,Fruit Jams
Nivea Smooth Milk Shea Butter Moisturizing Lotion,250.0,,Grocery & Food,Fresh Vegetables,,,200 g,,,,,,,,P2167,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.342877Z,2025-01-11T10:51:48.342877Z,,nivea smooth milk shea butter moisturizing lotion,Grocery & Food,Fresh Vegetables
Nivea Rose Water Gel Moisturizing Lotion,720.0,,Home & Living,RO Purifiers,,,12 x 100 g,,,,,,,,P4675,Kent,/api/placeholder/200/200,True,2025-01-11T10:51:48.342877Z,2025-01-11T10:51:48.342877Z,,nivea rose water gel moisturizing lotion,Home & Living,RO Purifiers
Nivea Aloe Hydration Moisturizing Lotion,735.0,,Grocery & Food,Fresh Vegetables,,,1.2 kg,,,,,,,,P6646,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.342877Z,2025-01-11T10:51:48.342877Z,,nivea aloe hydration moisturizing lotion,Grocery & Food,Fresh Vegetables
Santoor Whitening & UV Protection Body Lotion (250 ml),750.0,,Grocery & Food,Fresh Fruits,,,1 pack (1360 g),,,,,,,,P4323,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.343876Z,2025-01-11T10:51:48.343876Z,,santoor whitening & uv protection body lotion (250 ml),Grocery & Food,Fresh Fruits
Wow Skin Science Himalayan Rose with Lactic Acid Body Lotion (400 ml),260.0,,Grocery & Food,Fresh Vegetables,,,1 pack (4 pieces),,,,,,,,P2377,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.343876Z,2025-01-11T10:51:48.343876Z,,wow skin science himalayan rose with lactic acid body lotion (400 ml),Grocery & Food,Fresh Vegetables
Santoor Extra Moisturizing Body Lotion (For Dry Skin),950.0,,Grocery & Food,Fresh Vegetables,,,1 kg,,,,,,,,P1333,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.343876Z,2025-01-11T10:51:48.343876Z,,santoor extra moisturizing body lotion (for dry skin),Grocery & Food,Fresh Vegetables
Vaseline Daily Brightening Moisturizing Lotion,1898.0,,Grocery & Food,Fresh Vegetables,,,1 unit,,,,,,,,P0395,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.343876Z,2025-01-11T10:51:48.343876Z,,vaseline daily brightening moisturizing lotion,Grocery & Food,Fresh Vegetables
Mamaearth 100 % Pure Cold Pressed Castor Oil,725.0,,Grocery & Food,Fresh Vegetables,,,2 x 3 kg,,,,,,,,P4091,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.344878Z,2025-01-11T10:51:48.344878Z,,mamaearth 100 % pure cold pressed castor oil,Grocery & Food,Fresh Vegetables
Parachute Advansed Deep Nourish Body Lotion (400 ml),1380.0,,Grocery & Food,Fresh Vegetables,,,1 carton (30 pack x 70 g),,,,,,,,P9348,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.344878Z,2025-01-11T10:51:48.344878Z,,parachute advansed deep nourish body lotion (400 ml),Grocery & Food,Fresh Vegetables
Wow Skin Science Coconut Milk with Lactic Acid Body Lotion,1605.0,,Grocery & Food,Fresh Vegetables,,,8 kg,,,,,,,,P3083,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.344878Z,2025-01-11T10:51:48.344878Z,,wow skin science coconut milk with lactic acid body lotion,Grocery & Food,Fresh Vegetables
Mamaearth Body Lotion (With Vitamin C & Honey),180.0,,Grocery & Food,Fresh Fruits,,,70 g,,,,,,,,P2344,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.345877Z,2025-01-11T10:51:48.345877Z,,mamaearth body lotion (with vitamin c & honey),Grocery & Food,Fresh Fruits
Bajaj Almond Drops Nourishing Body Lotion,3700.0,,Grocery & Food,Fresh Vegetables,,,4 kg,,,,,,,,P7681,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.345877Z,2025-01-11T10:51:48.345877Z,,bajaj almond drops nourishing body lotion,Grocery & Food,Fresh Vegetables
Vaseline Intensive Care Aloe Fresh Moisturizing Lotion,250.0,,Health & Beauty,Bath & Body,,,200 g,,,,,,,,P6205,Himalaya,/api/placeholder/200/200,True,2025-01-11T10:51:48.345877Z,2025-01-11T10:51:48.345877Z,,vaseline intensive care aloe fresh moisturizing lotion,Health & Beauty,Bath & Body
Lotus Herbals Safe Sun Anti Tan Body Lotion,696.0,,Grocery & Food,Fresh Vegetables,,,1.2 kg,,,,,,,,P8731,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.345877Z,2025-01-11T10:51:48.345877Z,,lotus herbals safe sun anti tan body lotion,Grocery & Food,Fresh Vegetables
Wow Skin Science Shea Butter with Lactic Acid Body Lotion (100 ml),250.0,,Grocery & Food,Fresh Vegetables,,,200 g,,,,,,,,P1720,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.346876Z,2025-01-11T10:51:48.346876Z,,wow skin science shea butter with lactic acid body lotion (100 ml),Grocery & Food,Fresh Vegetables
Plum BodyLovin' Vanilla Vibes Body Butter (200 g),840.0,,Grocery & Food,Fresh Vegetables,,,12 x 100 g,,,,,,,,P1712,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.346876Z,2025-01-11T10:51:48.346876Z,,plum bodylovin' vanilla vibes body butter (200 g),Grocery & Food,Fresh Vegetables
Joy Cocoa Rich Intense Nourishing Body Lotion,196.0,,Grocery & Food,Fresh Vegetables,,,1 kg,,,,,,,,P6100,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.347882Z,2025-01-11T10:51:48.347882Z,,joy cocoa rich intense nourishing body lotion,Grocery & Food,Fresh Vegetables
Cetaphil Moisturizing Lotion (500 ml),1620.0,,Grocery & Food,Fresh Vegetables,,,3 kg,,,,,,,,P7921,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.347882Z,2025-01-11T10:51:48.347882Z,,cetaphil moisturizing lotion (500 ml),Grocery & Food,Fresh Vegetables
Joy Skin Fruits Moisturizing Lotion,1700.0,,Grocery & Food,Fresh Fruits,,,3 kg,,,,,,,,P7270,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.347882Z,2025-01-11T10:51:48.347882Z,,joy skin fruits moisturizing lotion,Grocery & Food,Fresh Fruits
Nivea Extra Whitening Cell Repair SPF 15 Body Lotion (200 ml),1399.0,,Grocery & Food,Fresh Vegetables,,,3 kg,,,,,,,,P6290,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.348878Z,2025-01-11T10:51:48.348878Z,,nivea extra whitening cell repair spf 15 body lotion (200 ml),Grocery & Food,Fresh Vegetables
Dove Body Love Supple Bounce Body Lotion (400 ml),506.0,,Grocery & Food,Fresh Vegetables,,,100 ml,,,,,,,,P2449,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.348878Z,2025-01-11T10:51:48.348878Z,,dove body love supple bounce body lotion (400 ml),Grocery & Food,Fresh Vegetables
Vaseline Healthy Bright SPF 30 Multi Vitamin UV Body Lotion,85.0,,Health & Beauty,Medicines,,,42 g,,,,,,,,P0435,Zandu,/api/placeholder/200/200,True,2025-01-11T10:51:48.348878Z,2025-01-11T10:51:48.348878Z,,vaseline healthy bright spf 30 multi vitamin uv body lotion,Health & Beauty,Medicines
Vaseline Cocoa Glow Whipped Body Butter,152.0,,Grocery & Food,Fresh Vegetables,,,400 ml,,,,,,,,P3007,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.349877Z,2025-01-11T10:51:48.349877Z,,vaseline cocoa glow whipped body butter,Grocery & Food,Fresh Vegetables
Mamaearth Ubtan Body Lotion (With Turmeric & Kokum Butter for Glowing Skin),105.0,,Grocery & Food,Fresh Fruits,,,120 ml,,,,,,,,P3583,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.349877Z,2025-01-11T10:51:48.349877Z,,mamaearth ubtan body lotion (with turmeric & kokum butter for glowing skin),Grocery & Food,Fresh Fruits
MCaffeine Deep Moisturizing Choco Body Butter (250 g),477.0,,Grocery & Food,Fresh Vegetables,,,100 g,,,,,,,,P0903,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.349877Z,2025-01-11T10:51:48.349877Z,,mcaffeine deep moisturizing choco body butter (250 g),Grocery & Food,Fresh Vegetables
Parachute Advansed Soft Touch Body Lotion (400 ml),70.0,,Grocery & Food,Fresh Vegetables,,,200 ml,,,,,,,,P2705,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.349877Z,2025-01-11T10:51:48.349877Z,,parachute advansed soft touch body lotion (400 ml),Grocery & Food,Fresh Vegetables
Himalaya Aloe & Cucumber Refreshing Body Lotion (400 ml),190.0,,Grocery & Food,Fresh Fruits,,,200 ml,,,,,,,,P3519,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.350876Z,2025-01-11T10:51:48.350876Z,,himalaya aloe & cucumber refreshing body lotion (400 ml),Grocery & Food,Fresh Fruits
Parachute Advansed Cocoa Repair Body Lotion (For Very Dry Skin) - Pack of 2,351.0,,Grocery & Food,Fresh Vegetables,,,600 ml,,,,,,,,P6321,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.350876Z,2025-01-11T10:51:48.350876Z,,parachute advansed cocoa repair body lotion (for very dry skin) - pack of 2,Grocery & Food,Fresh Vegetables
Parachute Advansed Soft Touch Body Lotion,375.0,,Grocery & Food,Fresh Vegetables,,,600 ml,,,,,,,,P6806,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.350876Z,2025-01-11T10:51:48.350876Z,,parachute advansed soft touch body lotion,Grocery & Food,Fresh Vegetables
Joy Pure Aloe Multi Benefit Moisturizing Lotion,336.0,,Grocery & Food,Fresh Vegetables,,,400 ml,,,,,,,,P9204,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.350876Z,2025-01-11T10:51:48.350876Z,,joy pure aloe multi benefit moisturizing lotion,Grocery & Food,Fresh Vegetables
Parachute Advansed All Day Aloe Body Lotion,327.0,,Grocery & Food,Fresh Vegetables,,,400 ml,,,,,,,,P5479,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.351877Z,2025-01-11T10:51:48.351877Z,,parachute advansed all day aloe body lotion,Grocery & Food,Fresh Vegetables
Wow Skin Science Coconut Milk with Lactic Acid Body Lotion (100 ml),400.0,,Grocery & Food,Fresh Vegetables,,,400 ml,,,,,,,,P2817,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.351877Z,2025-01-11T10:51:48.351877Z,,wow skin science coconut milk with lactic acid body lotion (100 ml),Grocery & Food,Fresh Vegetables
Everyuth Naturals Nourishing Cocoa Body Lotion (Intense Moisturization With Almond Milk - 200ml),475.0,,Grocery & Food,Fresh Vegetables,,,(400 ml),,,,,,,,P9370,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.351877Z,2025-01-11T10:51:48.351877Z,,everyuth naturals nourishing cocoa body lotion (intense moisturization with almond milk - 200ml),Grocery & Food,Fresh Vegetables
Vaseline Light Hydrate Body Lotion,182.0,,Grocery & Food,Fresh Vegetables,,,1 unit,,,,,,,,P2236,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.351877Z,2025-01-11T10:51:48.351877Z,,vaseline light hydrate body lotion,Grocery & Food,Fresh Vegetables
Nivea Fresh And Healthy Gel Body Lotion (Aloe Vera),144.0,,Health & Beauty,Medicines,,,300 ml,,,,,,,,P8092,Zandu,/api/placeholder/200/200,True,2025-01-11T10:51:48.352877Z,2025-01-11T10:51:48.352877Z,,nivea fresh and healthy gel body lotion (aloe vera),Health & Beauty,Medicines
Mamaearth Vitamin C Body Lotion (200 ml),240.0,,Grocery & Food,Fresh Vegetables,,,200 ml,,,,,,,,P6182,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.352877Z,2025-01-11T10:51:48.352877Z,,mamaearth vitamin c body lotion (200 ml),Grocery & Food,Fresh Vegetables
Parachute Advansed All Day Aloe Body Lotion (400 ml),63.0,,Grocery & Food,Fresh Vegetables,,,100 ml,,,,,,,,P0236,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.352877Z,2025-01-11T10:51:48.352877Z,,parachute advansed all day aloe body lotion (400 ml),Grocery & Food,Fresh Vegetables
Everyuth Naturals Rejuvenating Flora Body Lotion (Daily Moisturization With Almond Milk -200ml),435.0,,Grocery & Food,Fresh Vegetables,,,200 ml,,,,,,,,P0770,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.352877Z,2025-01-11T10:51:48.352877Z,,everyuth naturals rejuvenating flora body lotion (daily moisturization with almond milk -200ml),Grocery & Food,Fresh Vegetables
